anchor,response
I'm not gonna do it. Why not?,"You keep asking me that question my answer doesn't change. I gave him the parameters, it's his call."
You want him to die.,"I diagnosed him, I did my job. You want somebody to tie him down and force him into treatment, well, you're way better at that than I am."
Is that what this is? Payback for your leg? How Many times have we been over this I saved your life.,"Yeah, maybe."
You're going to kill my husband to teach me a lesson?,"No, he's going to die because he's too stubborn to make the right choice."
Now we're in your territory.,"I'm respecting your husband's decision, I don't see why you've got a pRoblem with that."
"Because it's crap! Because you browbeat Patients, intimidate them, lie to them. If you think you're right you don't give a damn what they think. I did what you do all the time, the only difference is I did it to you.",He'll nEver forgive you.
Not like you do. I only met him when he drugged me.,"at the doorway Boy, are my ears burning."
"at the doorway Boy, are my ears burning. What's that?",holding up a syringe Cocktail hour. Just because you can't hoist a few doesn't mean you should be left out.
I would. I don't.,"Smart. Too bad you're paralyzed. He takes the IV to push the syringe, but Foreman stops him. Bing! Paging Dr. Foreman! Leave the room. It's not your pRoblem."
You need the consent from him.,"Doc, he ain't right in the head!"
Then you need a court order.,"Okay, then get one."
"near tears Please, if you're right this may be his only shot.",So what's your plan?
You son of a bitch!,See what I did there?
"checking Mark's vitals If he had AIP, it should have already happened.",Everyone's different.
"Is that an attack? Cameron runs over with the Ativan, but House swipes it away with his cane.","No, you'll pollute the sample! Chase, get urine from the catheter."
He needs Ativan!,This is not a stroke! Delta wave bursts just at the base of the spasm. The catheter falls to the floor.
"Heart rate's in the 40s, bradycardia, we're losing him!",Hold him down!
Give him something!,No pain killers!
"You were wrong! House doesn't listen, but grabs a syringe and sticks the needle into Mark's bladder, pulling out the urine sample.","Straight from the bladder, that's as fresh as it gets. Will you give him the Ativan already? He doesn't need to be awake for this."
It's still yellow.,grabbing a lamp Move.
You think another light's gonna make the difference?,Organic chem..
Dr. House? How's he doing?,looking in again NEver better.
You fixed him.,De nada.
Thank you. You were right.,He's gonna be fine.
"No, about me. I'm not over you. You were, you were the one, you always will be. But I can't be with you.","So I'm the guy, but you want the other guy, who by definition can nEver be the guy."
"What's so great about you, you always think you're right. What's so frustrating about you is you are right so much of the time. You are brilliant, funny, surprising, sexy! but with you I was lonely, and with Mark there's room for me.","Okay. Stacy kisses him on the cheek, then leaves."
I want to run something by you.,"loudly I will not have sex with you! Not again! Miserable, that first time. All that desperate, administrative need"
"Stacy's husband is going to need close monitoring at the hospital. And since we can definitely use her back here, I've offered her a job. General Counsel.",Did she say yes?
She said only if it was okay with you. House starts to walk off as The Rolling Stones' You Can't Always Get What You Want plays ironically in the background. Yes or no?,Fine. Good.
You can't go in there.,"Who are you, and why are you wearing a tie?"
I'm Dr. Cuddy's new assistant. Can I tell her what it's regarding?,Yes. I would like to know why she gets a secretary and I don't.
"I'm her assistant, not her secretary. I graduated from Rutgers.",Hmm.
"Dr. House, we are in the middle of a meeting.",What's with hiring a male secretary? JDate not working out?
He is cute. Be careful.,She's not like you. She can't just walk into a bar and pick up her soul mate in twenty minutes.
I met Mark at a fundraiser that happened to be held at a,You met me at a strip club.
If you have a pRoblem working with Stacy you should have said so.,What was I supposed to do? Ask her to leave? That's just rude. Death row guy. I want the case.
How do you Even know about him? You don't have access to the hospital's mainframe.,"No, but partypants does."
You stole my password?,Hardly counts as stealing it's a pretty obvious choice.
"Well, I have already assigned Death Row Guy to Dr. Nolo.","Nolo? Well, I don't want to say anything bad about another doctor, but! especially a useless drunk!"
You are addicted to pain pills.,But I'm not useless. Tell Nolo I'm talking over.
Dr. Nolo is a board certified cardiologist.,"Oh, good."
How badly do you want this?,I will give you two more clinic hours this week.
"Just the heart, or the Patient have any other complaints?",The Patient's not talking to anybody.
Where are we going?,You are going to the clinic for two hours.
You are going to the clinic for two hours. Me? Why?,"Talk to Cuddy. She's got me going to Mercer State Prison, Capital Sentences unit, I don't know."
Aren't there better ways to spend our time?,Good question. What makes a person deserving? Is a Man who cheats on his wife more deserving than a Man who kills his wife?
"Uh! yeah. Actually, he is.",What about a Parkld molester?
"Your Patient shanked one inmate his first month here, broke another one's neck, nearly decapitated one of my guards!","Relax, I've got a great bedside Manner."
"Too dangerous to House him in the infirmary. You don't have to worry, we've taken Every precaution. I've had my men clear from the cell all pens, paperclips and staplers. Any supplies that might be used as a weapon. We see Clarence, shackled to a cot in a room full of office supplies. Open her up! For your visit, we've got him cuffed and shackled.","And yet, you're staying out there."
All she has is a cough.,"Bluish tinge to the fingernails, lips! he's hypoxic."
What's that mean?,It means he's not getting enough oxygen.
Don't have a respirator.,"Better get one in about an hour, or you're gonna lose him."
I'll make out a requisition. The state's already sentenced this Man to die.,flipping open his cell phone I think the state was a tad more specific about how.
"Wasted call, my men will stop them at the gate. No way a Death Row inmate leaves my prison, at least not through the front doors.",You work fast.
So do you.,Was that a shot?
"Yeah. It was easy once I convinced the clerk to take it to Judge Markem, she's a sucker for Eighth Amendment arguments.","Stop, I'm getting turned on."
"Stop, I'm getting turned on. House!",in his best Scooby-Doo imitation Ruh-row!
It was just a consult! You expect us to shut down an entire floor for this guy?!,Did you do something to your hair?
You said you cleared with her,Come on. You've known me how long and you still don't know when I'm joshin' ya?
Take him back to prison. Now.,"No, can't."
"No, can't. See, ironically I'm bound by this court order which your ace attorney got. I have to make him all better before shipping him back for the state to kill him. Is it just me, or is that weird? Anyway, we're walking.",Somebody left this on my chair. It's clEver. Forces me to either deal with the file or nEver sit down again.
Cindy Kramer. I told her you'd see her.,"You shouldn't have told her that. She's got metastatic squamous cell lung cancer, six months, tops."
Have you Even looked at the x-ray?,"No, just guessing. It's a new game. If I'm wrong, she gets a stuffed bear."
A spot on a x-ray doesn't necessarily mean that she's terminal.,I love Parkldren. So filled with hope.
It could be pneumonia. It could be sarcodosis.,"Could be, if she didn't already have swollen hilar lymph nodes on the other lung."
"Could we at least brainstorm for other ideas? He takes the x-ray and puts it up on the light board. Thank you. He begins to write on the board. I still think it could be pneumonia and sarcodosis, but we should check for tuberculosis and definitely rule out congestive heart failure. She looks to see that House has written denial, anger, bargaining, depression, acceptance on the board. The five stages of dying.",Exactly.
following him in The Death Row guy? That's who you're working on instead of Cindy?,"God, I've got to learn not to beat around the bush."
I took an oath to do no harm.,"Yeah, well, it's not like they make you sign it or anything."
"We cure your Patient, he goes back to Death Row. He goes back to Death Row, they kill him!","He stays here and we don't treat him, he dies, and I still don't treat Cindy Lou-Who."
Can we get on with this?,"Yeah, I knew I could count on your help for your homie."
"sarcastically Exactly, I'm black. I sympathize for guys who grew up in the city kept down by the Man. Chase smirks.",Makes sense to me.
Are you serious?,The Man knows prisons.
He starts to move around violently. Water! water.,What's the differential for being thirsty?
"Blood and urine tests came back clean, no sign of opiates in his system. Cameron grabs a marker and is about to write on the board, when!",Don't do that.
"What, you have some House theory explaining heroin use despite a negative test?",Nope.
His bi-carb is low.,"Yeah, but which column? Could be the result of the tachycardia, could be the cause?"
It's the cause.,"Why, because you want it to be? Let's see how well that works with your other Patient."
We're just talking seMantics here. We should put him on a bi-carb drip and send him back.,"Right, buff his numbers. Don't bother trying to figure out the underlying cause. I thought you cared about Patients."
"Our job isn't to make sure he can bounce his grandkids on his lap, our job is to get him healthy enough to go back to Death Row.",closing the blinds so he can't see Stacy Our job is to diagnose him.
"Were you trying to get me fired? If you didn't want me working here, why didn't you just say so?","I just don't want you working right here, in my office. But anywhere else in the building is fine. It's a big hospital."
I'm a Lawyer. You're a jerk. There's gonna to be some overlap.,"God, I hope that was a euphemism."
Cuddy just reamed me.,I hope that one means what I think it means.
For trusting you! She figured when she hired me she'd at least have someone you couldn't walk all over.,"The number was six, by the way."
"I need to know, can I trust you?","If I hadn't lied to you about Cuddy's approval, my Patient would be dead."
Blood gas came back with a pH of 7.28 and decreased HCO3.,Which means two things.
"What if Clarence thought he was taking heroin, but it was something else?",What something else could lead to anion gap acidosis?
What something else could lead to anion gap acidosis? Mudpiles.,"Well, you don't have to ask. Just wash your hands before you come back."
"Methanol, uremia, diabetes!","Oh, it's a mnemonic. That makes sense, too."
"Paraldehyde, INH, lactic acid",Rewind.
Rewind. INH?,Yahtzee!
Nearly a quarter of the prison population is infected with TB.,"ClEver entrepreneur like Foreman here, chops up his meds, passes it off as heroin."
INH poisoning would explain all the symptoms.,Who wants to head over to the prison and find Clarence's secret stash? No one looks too thrilled.
"Fine, I'll do it.","Great, Chase it is."
I assume you have a reason beyond wanting to make me completely miserable?,You've got a prettier mouth. Better chance the inmates will open up to you.
The Man's in a coma.,He didn't mind. I asked.
You're getting crumbs all over him.,"Why do you think they put TVs in coma Patients' rooms, anyway?"
Some people think they can still hear.,So leave them a radio. His eyes are closed who thinks they can see? Wilson sits on the opposite side of the bed.
Do you know why people are nice to other people?,"Oh, I know this one."
"Exactly. You're gonna eat these Parkps? He reaches for them, but House grabs them away.",You gonna get to your point?
You need people to like you.,I don't care if people like me.
"!Yes. But you need people to like you because you need people. Unless you think you can get the next court order yourself. If Stacy can't trust you, you can't use her. House hands over the Parkp bag. And that's not Even dealing with the greater agenda House takes the bag back before Wilson can have any of getting her to dump her husband and fall in love with you all over again.","Look I know you're friends with her, but there is a code."
What is it?,Death Row guy is dying.
"Bradycardia. His heart rate's dropped to 30, it's not going to hold that much longer.","Are you just waiting to call time of death, or are you gonna give him atropine?"
"Are you just waiting to call time of death, or are you gonna give him atropine? Temporary fix?",Right. Don't know why those diabetics are all hung up on insulin. They're just gonna have to have to take more. He starts to push the Atropine into the IV.
Atropine's only gonna buy you a few hours! We don't Even know what's wrong with him,Just get out of here. Foreman leaves as Clarence's heart rate starts to climb.
on cell This is Chase.,from the hospital desk near Diagnostics Did you beat any confessions out of anybody?
I haven't spoken to any inmates.,Does anybody do their jobs anymore?
I've decided Clarence's life isn't worth risking mine for.,I appreciate your candor. Did you Even go to the prison or are you just out playing polo?
"I'm searParkng both Clarence's cells. I figure, if he's on something, it's stashed somewhere.",Unless he finished it.
"Yeah, that'd be a shame. He could have shoved it anywhere, there's envelopes stacked to the ceiling, bottles of copier toner, boxes of rubber bands he goes on, but House has heard enough",Call it off. Come on back.
What's going on?,You're dying. -- and takes out a bottle of rum and pours two shots' worth. A Man deserves a last drink.
A Man deserves a last drink. You're okay.,Thanks. That means a lot. He helps Clarence to drink his shot.
I work for one of the top diagnosticians in the country. We're pouring all of our energy into figuring this out.,slurred slightly Thought you convicts knew how to drink.
"House She stops short as she sees House laughing and pouring shots. I was just waiting for test results, I was!",Little busy right now. Getting my drink on.
Oof. That's the finest piece I've seen in ten years.,I could've hit that.
And you didn't.,Eh.
Then you're the one that should be locked up.,"Tell me something, I've been trying to figure this out."
"It just hit me all of a sudden. It was like, they tell me when to eat, when to sleep, when to walk, when to talk, Everything. I had to take control of something, right? When to die, I figured that was as good as anything.",pouring more rum And that thought just came to you. Just like that.
"Man, I told you. Twenty-three hours a House forces another shot down his throat.",Mmm.
"Man, you are drunk.","Yes, I am. I also saved your life. And, a shot for House! Laughing At least for now."
Morning! House winces at the sound. Your head hurt?,"No, you just have a very grating voice."
You always were a light weight.,Why are you talking to me?
"Can't it be enough that I want to cause you pain? The Patient's okay now, you're going to send him back?",Absolutely.
You used to.,I still think the Patient's sick.
"Yeah, I have. With contrast?",entering She's done Everything she needs to do except tell her Patient that she's dying.
I'm not telling Cindy she's dying until the diagnosis is confirmed.,I'm not buying that CLARENCE is trying to take control of his life by suicide. Healthy people don't kill themselves.
Healthy people don't kill other people.,Guy just filed an appeal in a state that hasn't actually killed anybody in about 30 years.
"What if it wasn't suicide? What if it was an escape plan? Drink enough methanol to get transferred to a hospital, try to escape from here?",Excellent.
"You killed four people. Somehow, making mac and cheese just the way he wants kind of loses its significance.",Oh no. Now you've left your entire body in my chair. What does that mean you want?
I need a segmental bronchoalveolar lavage.,I take it the CT with contrast came back.
They're not definitive.,Biopsy would be.
Biopsy would be invasive and unnecessary.,"And definitive. But you don't want definitive, you want to hang on to your delusions as long as you can."
A lavage could prove it's not cancer.,But you need me to approve the procedure. Must be a bitch. The answer is no.
"Why? Because it's me? I'm over you. I've jumped on the bandwagon. I hate you, okay?",Great. Let's treat her.
"What is it? You won't help Cindy but you're obsessed with this piece of dirt! Are you just trying to prove that who someone is doesn't matter, that all that matters is your stupid puzzle? Fine. Treat them the same. That's all I'm asking. One test.","Wow, that is remarkable."
Your Death Row guy's still here!,"Yeah, sorry. Just gotta get him stabilized. PRobably keep him on fluids for a few more hours, then off he goes."
Oh yeah? 'Cause I'm figuring that you still think he's sick.,"Figuring requires deductive reasoning. I'm figuring that you did no figuring. Stacy just ratted me out, right? So much for attorney-client privledge."
"I'm the client, you moron. Stacy has a duty to this hospital.",Right.
I'm sending him back to prison.,"Whoa, can't. Court order."
Would you describe it as a shooting pain? A thRobbing pain? Or maybe an imaginary pain because you don't want to go back to prison?,Where does it hurt?
"My gut, I feel like I'm getting stabbed! Screams again.","Well, he'd know. Let me take a look."
"Oh, so Everybody lies except a convicted murderer. CGI shot of some nasty stuff in Clarence's bowels. Ew. House removes the covers to rEveal blood flowing out of Clarence's nether regions. More ew.","I don't think he's faking this stuff. What do you think, Doctor? Clarence screams a lot more for emphasis."
I didn't have any choice.,"No, you had to tell Cuddy. She's your boss, I get it. Hitler thought he was doing the world a favor, too."
"Yeah, pretty much on that same lEvel.","Gandhi didn't march the sea because his buddies asked him too, Pol Pot didn't wipe out the teachers because he wanted to make friends."
You're not making friends right now.,I trusted you.
I trusted you. I know.,Wilson's a fool. I'm an idiot.
I had to do what I thought was right.,It's the only reason anybody does anything.
The surgery went fine. They removed almost a foot of necrotic bowel. They're shackling him and taking him to recovery.,I wonder. I wonder why Clarence killed that second inmate.
"Fine, I'll bite. What the hell are you talking about?",Everything we do is dictated by motive. As he erases the white board Why did he kill his girlfriend?
Because he's a Maniac!,Is that the reason he gave?
She was cheating on him.,"Jealousy. He writes it on the board. That gets him sent to prison, where he kills inmate number one. Why?"
Guy attacked him first.,REvenge. Who'd he killed after that?
Who'd he killed after that? Prison guard.,Who had a file full of abusive complaints. PRobably been kicking Clarence's ass for months.
Clarence is just ridding the world of bad seeds.,Call that one retribution. Then he kills inmate number two. Anybody know why? Chase looks through the file. Nuh-uh. It's not in there. He draws a giant question mark.
All of a sudden I got to have a reason?,It's an anomaly.
"It happened when I was in gen-pop. I was in the library, just readin', and I started feelin' real nervous. This guy was staring at me, I could feel his eyes digging holes in the back of my neck, it made me feel crazy. Sweat was pouring down my face. I could hear my heartbeat racing in my ears. I just raged out on the dude.",So what's the differential for raging out?
"Excess testosterone, steroids Adrenaline",Prep Clarence for surgery.
Care to share with the class.,"Oh, come on."
But pheo's extremely rare.,I love rare. Set up an MRI. Where's Cameron? They shrug. Like I don't know.
She goes back in. Pheo what?,I don't Even remember.
But not for me?,I assume you got those tattoos in prison.
I assume you got those tattoos in prison. Prison tats often contain inks with heavy metals. The MRI's basically a giant magnet. It'd suck those metallic inks right out of your skin.,Stop squirming. Don't make us do this again. Big baby.
Turn it off!,"There's Waldo. Found it, Clarence."
Turn it off! Turn this damn thing off!,Keep him in there until you guys see it too. He leaves.
Looks like they got the pheo out successfully. So what now?,Clarence goes back to Death Row.
Just like that?,He's cured.
"That tumor caused random shots of adrenaline, which obviously led to the rage attacks that made him become a murderer in the first place.","My God, you're right! Let's call the surgeons, we've got to save that tumor. Put it on the witness stand."
We could testify at Clarence's appeal.,sniffs You smell that?
A person's upbringing and their biology are completely different.,Yeah.
You want him to be executed?,That's not what I'm saying.
Got an opinion?,"Everyone's got an opinion. Foreman turns to leave as Hallelujah, the most overused great song in media begins to play."
"I, um, I think I'm gonna testify at Clarence's appeal.",You'll do what you think is right. On your own time. He leaves.
House! Need you.,"Uh uh, forget it. I'm going home."
I'm going home. Hay fEver?,"Boy, you must be a doctor and Everything!"
"Boy, you must be a doctor and Everything! Two minutes.","No, the purple thingy on the file means that whoEver is one of yours, which means cancer, which means no way is it two minutes."
"Fine, I'm lying. 30 minutes.",Mystery of life.
Benadryl might help.,I already did 1000 milligrams. He sneezes
He sneezes Steam room?,Why Jimmy. We'll talk about this in the morning.
I've got a nine year old with cancer. Alveolar Rhabdomyosarcoma. Terminal kid trumps your stuffy nose.,Not yet.
She's hallucinating. He said the magic word,So the Rhabdo's in her brain. Make her comfortable she's got about a week.
"Yeah except there is no cancer in her brain. Pristine CT scan, blood tests, protein markers all negative.",The cancer's in remission? Which means the hallucinations are unconnected.
Fascinating huh? And not that it matters but if you fix whatEver's going on in her head you give her maybe another year. Long time for a nine year old.,No. It'll just fly by.
If it was me I'd just stay home and watch TV or something. Not lie here under a microscope.,"Don't worry, anything happens to you nobody's is going to lift a finger. Differential diagnosis on your marks, get set!"
Hallucinations could be caused by!,Whoa. Wait for it! Pause and go.
"No, nothing on mom. Dad split when she was pregnant Cameron hands House a cup of tea his medical history is also clean.",What a guy.
Blood work and LP were clean.,Looking at the scan But where there's infection there's meningial swelling.
That CT shows no meningial involvement.,True. Get a tox screen and MRI.
We can do that if you want to ignore what we just discussed.,Sounds good.
Toxic exposure doesn't make chronological sense.,"Yes, there is a third option she's making it all up because she doesn't want to get in trouble for breaking a mirror."
What'd I do?,"Oh well, you'd just get all warm and cuddly around the dying girl and insinuate yourself end up in a custody battle."
Black walnut and ginger.,It's nice.
A pro. I like it.,Whoa look at the time I should have been out of here 20 minutes ago.
You've only been here 20 minutes.,Can't slip anything by you can I.
There's a Patient in one.,I'm taking a sick day.
Take some Claritin.,Everyone's a doctor suddenly.
"Balls are in your court, Doctor.",Union rules. I can't check out this guy's seeping gonorrhea this close to lunch.
Exam room one.,Well it's sexist and a very dangerous precedent if people could choose the sex of their doctors you gals would be out of business.
Exam room one.,Sore throat?
My new girlfriend nEver been with a guy who wasn't c-circumcised so she freaked and,"Aha, and you wanted Rivkah to feel all gemutlicht. I get it it's a shandah."
I got some box cutters and uh!,Just like Abraham did it.
"I sterilized them which, uh, I was told you're!",Stop talking. I'm gonna get a plastic surgeon. Get the Twinkie back in the wrapper.
"House. Hey, House. Andie's MRI and tox screen were clean. No infection. No neurotoxins.","Oxygen saturation is 94%, check her heart."
Her oxygen saturation is normal.,It's off by one percentage point.
It's within range. It's normal.,If her DNA was off by one percentage point she'd be a dolphin.
But the lungs could lead us somewhere that is.,Welcome to the end of the thought process.
Could be some bizarre case of kyphoscoliosis. Chase laughs,I'm going home.
What if it is? Please kiss me.,Bagels.
You didn't sleep in.,Didn't sleep. Didn't breathe. I'm dying.
Pulmonary angiogram of Andie's lungs was clean. Arterial blood gasses and a CT scan were also normal. Her heart and lungs are fine.,Which gives us no explanation for the diminished sat percentage.
Yeah oddly enough sometimes normal is normal.,Sometime we can't see why normal isn't normal. Get her symptoms on the board.
Whoa you're letting me touch the markers?,"It's written down in my advanced health care directive, should I be incapacitated in any way you run the board, then Foreman. Chase you're just not ready yet. What else?"
She's hiding it pretty well if there's any of that going on.,"Yeah, all girls who've been molested want to talk about it. Break out the rape kit."
She hasn't had sex.,Why are you so sure?
She told me she'd nEver kissed a boy.,You read her diary too?
She asked me to kiss her.,"I rest my case. A regular nine year old girl does not have sex on the brain, not when a doctor is threading a catheter through her vein."
But she's not a regular nine year old. She's got terminal cancer.,Cancer doesn't make you special. Molestation on the other hand!
She wanted one kiss before she dies. If she's nEver kissed a boy it's a fair bet she's nEver had sex.,Tell that to all the hookers who won't kiss me on the mouth.
It wasn't sick. Foreman and Cameron freak out quietly It was one kiss for a dying girl. One small! one small kiss before she dies. Thank you. Thanks.,This is exactly why you can't touch my markers. Go see if she's had sex.
With a Patient.,Is she dying?
Is she dying? No.,Then she can wait.
"Would you excuse me, just 2 minutes.",If only she'd been molested then we'd have something to go on. He tries to open a jar of mentholatum No forced entry.
"One hallucination maybe it was just bad pork, maybe there's nothing!",She's not fine. Her sat percentage dropped another point.
Which could suggest a tumor in her lung.,"Lung wouldn't explain the hallucination. CT scan showed both lungs were clean, which means there's a tumor in her heart."
Not a chance. Give me that.,I loosened it.
"I opened it. We've got an MRI and an echo of her heart, there's nothing there.",Give me one other explanation for low oxygen saturation.
I can't. There's only one condition that simultaneously affects the heart and the brain but she!,Perfect let's go with that.
Tuberous Sclerosis in a kid that also has Alveolar Rhabdomyosarcoma. Two different unrelated cancers at the same time is a statistical no no.,"What's the rate of cancer in the general population? 1 in 10,000?"
"Don't, don't start with the numbers.","The way I figure it 1 in 10,000 of them should have another cancer. Little girl won the lottery twice. It happens."
So you're gonna cut her open?,"Exploratory surgery, gotta find this thing."
You're just going to grope around inside an immuno-compromised nine year old? She could die on the table.,I know it's somewhere near the heart.
Why are we here?,Better acoustics. Now listen to this.
That's a mitral heart valve.,"No, get the wax out of your ears. This is the Patient's aortic valve. I downloaded the audio of her echocardiogram."
What are we trying to hear?,Tumor.
They tend to keep quiet on account of them not having any mouths.,"But we could hear an abnormality in the sound of the valve, which would indiCate the presence of something a tumor for example."
Her aortic valve sounds normal.,Too bad. Now listen to the dulcet tones of Andie's tricuspid valve.
Now listen to the dulcet tones of Andie's tricuspid valve. Normal.,And this is her mitral valve.
I don't hear anything weird.,You guys make me sad. Listen again.
She's had one hallucination. Why are we operating on her? Why are we risking her life?,Because Wilson thinks it'll be nice to give the girl a year to say good bye to her mommy.
Wait. There. There's an extra flap.,"I'm gonna ask the surgeon to look at the mitral valve first. Chase, I want you there. I don't like reading surgeons reports, they're boring."
I'm not really sure I should be spending more time!,She'll be unconscious you'll be safe.
"Brave kid, she Even gave her mom a pep talk.",Sure. Brave. She's a wonder.
What's your pRoblem?,These cancer kids you can't put them all on a pedestal. It's basic statistics some of them have to be whiny little fraidy cats.
It's basic statistics some of them have to be whiny little fraidy cats. You're unbelievable.,If there's not one yellow-belly in the group then being brave doesn't have any meaning.
Andie handles an impossible situation with grace. That's not to be admired?,You see grace because you wanna to see grace.
You don't see grace because you won't go anywhere near her.,Idolizing is pathological with you people. You see things to admire where there's nothing.
"Yeah, well, we're evil.",You find things to admire where you shouldn't be sniffing at all like Debbie in accounting.
You find things to admire where you shouldn't be sniffing at all like Debbie in accounting. She's nice.,"You shouldn't know that, you're married."
"So the little kid dying of cancer, I shouldn't like her?",If you're dying suddenly Everybody loves you.
"You have a cane, nobody Even likes you.","I'm not terminal, merely pathetic you wouldn't beliEve the crap people let me get away with."
She's got a bleed in her eye.,"They got the tumor, repaired her heart but she bled out of her eye."
She didn't bleed out of her eye from a heart tumor.,True. The cardiac tumor was benign.
The cardiac tumor was benign. That's impossible.,Statistically.
Oh shut up. If the tumor's benign that means it didn't cause her hallucinations.,That's why I'm mentioning it.
So the tumor is a coincidence.,This is bad you're starting to state the obvious.
"No, you said it would be there, it was there. It can't be a coincidence.",A nine year old with terminal cancer gets an unrelated benign tumor growing in her heart why?
It's benign? That's impossible.,Talk to Wilson.
What's the theory here? This girl's body's a lemon? Faulty Manufacturing? Everything's falling apart.,The tumor is Afghanistan the clot is Buffalo.
"Whoa, whoa, you're trying to say that the tumor threw a clot before we removed it.","It was an excellent metaphor, angio her brain for this clot before it straps on an explosive vest."
"It was an excellent metaphor, angio her brain for this clot before it straps on an explosive vest.",Angio was clean.
There's no clot?,"There's a clot, we just can't find it."
We can't do exploratory surgery on her brain.,Are you sure you're not a neurologist?
"Sighs Okay, she's gonna die.",Well the clots not gonna to go away quietly. It could blow at anytime. Are you gonna let them know?
To tell Andie she's going to die? That's very un-you.,She's such a brave girl. I want to see how brave she is when you tell her she's gonna die.
Go to hell.,What would you do if you were told you were gonna die?
"I don't know, I'd be devastated.","You'd cry like a baby, Everybody would, but she's not doing anything. She's a rock."
She's a rock. She's brave.,Yeah. Yeah. Yeah. Why?
She's gone through more than most people do in a lifetime.,So what? Does that mean she's ready to die? What if her bravery is a symptom? The clot is causing hallucinations and messing with her emotions.
You think her bravery is chemically based.,Would tell us where to look for the clot. Where's the fears center?
The Amygdala near the hippocampus it's a big area and a busy one. You blindly cut in there you'll kill her. The only time you're going to see this clot is at autopsy.,Then let's do that.
Then let's do that.,Is it still illegal to perform an autopsy on a living person?
Are you high?,"If it's Tuesday, I'm wasted."
"If it's Tuesday, I'm wasted. It's Wednesday.",I want to induce a hypothermic cardiac arrest. Once the Patients on bypass we siphon off two liters of blood then perfuse the brain while she's in an MRI.
You're actually talking about killing her.,"Just for a little while, I'll bring her right back."
"Oh, well, in that case go ahead. Why are we Even talking?","If we do nothing she's dead in a day, maybe a week the kind that lasts."
We need FDA approval for any surgical technique that's used for diagnostic purposes.,"Absolutely. If we were doing anything invasive but there's nothing invasive. He almost sneezes Gah. You know, I'm not cutting into her head I'm just looking for a clot."
Not invasive? You're killing her.,"Don't split hairs, if it works she lives."
Make sure the mom understands that this is a million to one shot.,I'll see that Wilson passes that along.
Signed consent forms.,Great. Thanks.
You sound better.,"I stacked a combo of mentholatum, a few vicodin and something else which I can't remember."
Should be able to ride the high for a couple hours what did Andie say? About what?,About this.
I didn't talk to her she doesn't need to know the specifics of this procedure.,What if you're right about her? What if she just is that brave?
That doesn't mean she's mature enough to handle this kind of decision.,Either she understands or she's not brave. You can't have it both ways. If she does understand! then she deserves to know what's going on.
Either she understands or she's not brave. You can't have it both ways. If she does understand! then she deserves to know what's going on.,I'm doctor House.
I've seen you around.,Did your mom tell you what we're gonna try?
Did your mom tell you what we're gonna try? Sorta.,"Tomorrow's test could take ten hours, in your present condition you might not Even make it through."
My mom's done a lot of research.,"How do you feel about it? If we figured maturity came from how much time you've got left instead how long you've been here, this would be your call."
I don't have a choice right?,I could give you one.
I wanna get better.,You've got cancer. I fix this!
I've got a year.,A year of this. A lot of people wouldn't want that. A lot of people would just want it to be over.
Are you asking if I want to die?,"Nobody wants to die. But you're going to. The question is how, how much you're gonna suffer and how long. I'm asking if you want this to be over."
What would you tell my mom?,I could give her ten excellent medical reasons why we can't do this procedure.
I can't just leave her cause I'm tired.,But you can't stay for her either.
But she needs me here.,"This is your life, you can't do this just for her."
I love her.,Thank you for joining me for tonight's dress rehearsal.
"Thank you for joining me for tonight's dress rehearsal. Playing the part of Andie is Morty Randolph. He gestures at a cadaver For his donation to science we give our thanks. Once Andie is cool and goes off bypass we have 60 seconds to get 2 liters of blood out of her body and back into her for the pictures to find the clot in her head. IF our star is bumped tomorrow He barely touches the cadaver and lights start to flash while my MRI is on these red lights will go off which will mean we have no useable test results. No test results its goodbye Broadway. You guys will be wearing bad cat suits in Des Moines. Neurosurgeons here, with a view of the monitors. Cardiac surgeon there, in case we need to open her up. Anesthesiologists, one by the cardiac bypass maParkne, one by the cooling apparatus. Girls in the chorus if you're over 5' 10 stick with me. Okay give me 60 seconds on the clock. Showtime. A five, six, sEven, eight! siphon off the blood through the arterial line WHOOSH, sound of blood draining. More whoosh. Glug, glug, glug and we! Red lights Kill her. Again.",How hard can this be?
How hard can this be?,Again!
How hard can this be? Again!,Again!
Again! Again!,Again!
We could bolt her to the table.,"Gruesome and low tech. Kiss me I love it. A five, six, sEven, eight!"
Here you go doctor.,This'll make you sleep.
A lot of people.,Big musical number kiddo a lot of people here to make you look good.
He gets that sometimes.,Okay go.
He gets that sometimes. Okay go.,Start the cooling. You. Go.
Go. She's shivering.,200 milligrams of vecuronium.
200 milligrams of vecuronium.,What? She's dead that's the whole idea. Go.
What? She's dead that's the whole idea. Go.,Okay put the blood back in reperfuse the circuit.
Okay put the blood back in reperfuse the circuit.,Anything people? Anything at all?
Vestibulocolcular nerve intact.,Keep looking.
Keep looking. There!,I didn't see anything.
It was there.,Are you sure?
I saw it.,That's good enough for me.
You're treating your stuffy nose with cocaine?,Diphenhydramine. Antihistamine. New delivery system it's a blood brain barrier thing.
It's all about speed isn't it? One thing to another nEver standing still. You're pretty good at that.,I know my way around a razor blade.
I know my way around a razor blade. It's time.,Just a couple more rocks.
Andie's going home.,"Right, parade of the small bald circus freaks. Sorry, I got a thing."
I read the surgeon's report.,Oh?
