anchor,response
Did you look past the first page of the file? No AML cells anywhere. I did the blood smears myself.,It's still cancer. You know how I know? He's got an oncologist for a doctor.
"You came a long way to see me, you going to put her life in God's hands or in mine? Ready?","to Esteban I better not see you praying! I don't want to have to fight for credit on this. Exiting the femoral, entering the aortic arch."
That was sensitive.,You have pretty hair.
Mitral valve stenosis.,Which is a thickening in the valve of the!kidney? No. The kidney doesn't have a mitral valve.
Maybe a handful of diseases.,It'll be super awesome when we find it. He stops in front of the elevator and pushes the button
What makes you think I can make her miserable? Starts rolling up his sleEves.,Because you're good at that stuff.
"We gotta go. Congratulations, Gregg.","mutters to Foreman Congratulations! aloud Why, Marty?"
"No, he's not!",Ecstasy?
What's your point? That you cared about him more than you cared about yourself? You cared about the puzzle more than you cared about yourself.,"If I kept it to myself, then it would just be a puzzle, but I opened my mouth because I thought it was more."
It's not scleroderma.,"Wow. Two days, and you've already got two separate theories. House sits down"
And heart pRoblems aren't so rare for someone who's had a heart transplant. I say we assume House was right about the anaphylaxis--,It is tempting!
"We'll need to know exactly how you changed your diet, and when.",Need my apartment key back.
"Dr. House, you know you can't get herpes from","Some politically correct doctors will tell you that it's impossible to get infected by a toilet seat, but they'll also tell you not to use the same bath towel to dry your crotch and your face during an outbreak."
He's over his limit on morphine.,Where's Cameron?
"There's always an explanation, isn't there?","Yes, there is! And if this one doesn't work will find another."
Maybe two good pieces.,How Many okay pieces?
It's a tie. Between?,All of you.
We already ruled out food poisoning. Both the butcher shop and the food stands at the fair were totally clean.,Then he ate the poison apple somewhere else. Or maybe you just missed it. Start treatment for triParknosis and confirm with a muscle biopsy. He leaves
You have any thoughts about our Patient?,Got some questions about whether Thirteen really beliEves in karma or just wants to.
I can't cry.,Neither can I. Every morning I check my eyes for jaundice in case the Vicodin's finally shot my liver.
I thought you were going to attack me again.,Again?
"Even if she is an addict a lot of her symptoms, the cataplexy, the violence, they could be neurological. We chalk this up to drugs we could be releasing her with juvenile MS, or Parkinson's --",Detox her.
Joe has a new symptom hyperalgesia.,The infection is spreading into the pain center of the brain.
Her BP's dropping. Start her on pressors. We gotta get her BP up before her organs start shutting down.,Adams! with me.
"Well, the old ones, you know, made me feel like a tree!",Nice visual.
"What, are you gonna feed me 20 years of medical knowledge too? It's not gonna work.",I know. But I don't have anyone else to ask.
What'd you tell that cop? Nothing.,Nothing as in nothing or as in nothing to cause him to think that I have a stash in my apartment?
Hesitating. Why don't you want to go with me?,It's a play. Dudes only go to plays if they're dragged by women they're hoping to see naked.
"And by we, you mean you. You screwed up the lungs.","Wrong about autoimmune, not cancer, heavy metals, genetic issues! Increase peep."
"Now, what if the Patient is infected, but has no antibodies what if the body is not fighting the infection? Why would","Neh, eh, I asked first. Let's start with the what', we'll deal with the why later."
And atheists have no right to quote Scripture.,The rules said no talking'.
We've already explored the usual options. Shouldn't we at least explore unusual ones?,Absolutely. He goes to his desk and picks up his phone Don't worry. This is why God gave me two ears.
Five lame reasons aren't. I'm taking her to see her mom as! House whacks Hannah on the shin with his cane. No reaction. Foreman looks at House.,"I could hit her again if six aren't enough. Do the tests. Hannah sighs, resigned."
I'm not a tease.,The available evidence suggests otherwise.
Except she can't see or move her hands.,with more emphasis this time So she says.
"Or, four, he has something that tests positive for syphilis.",Sighs. It's not chagas.
Can we treat it?,Ask the neurologist.
MRI and LP are both inconclusive. Infection's still possible. Tumor's less likely than...,DNA?
You think I'm right? Nope.,Why not?
"Not heroin. She was injecting herself with her own red blood cells. It caused her heart issues, and when her hematocrit Evened out, we mistook it for internal bleeding.",It must have been a very distinctively shaped and awfully talkative puncture for you to get all of that.
"Give us a minute? Fellows leave, closing door Did you know they recently found a protein that speeds up nerve growth? Fascinating stuff. If you put that protein with the insulation from a spinal nerve, you could grow your own little garden. If that spinal nerve!","Yeah, yeah, yeah, yeah. If it happened to come from a person with CIPA I could grow pain-free nerves and graft them into my own leg. What an evil plan."
"She was taking Interferon in prison, so I'm guessing she's had Hep-C for at least ten years.",Can I guess stuff too? Cause that's gonna make the diagnosis really easy.
"That's funny, she said you might need one.","That's why you're here? She wants you to keep an eye on me, make sure I don't cheat."
What's your name?,You testing my mental state?
"Well, unless you're going to do your job, it can wait.",I'm going to do my job.
I changed my mind.,"What, you want the fish instead of the Parkcken?"
It's a great idea!,"Regular radical, me radical or me out of my mind radical?"
Is he a match?,No. Lying girl lucked out and found one in the registry.
"Oh, sorry. Reservation for two.","When people give themselves away, it's by little things."
It's not gonna,Do it.
Sarcoidosis makes sense too.,Good. Treat for those three.
Wry Neck. Is he an athlete?,He's a regular runner.
"turning back It looks promising, reducing symptoms.",No cure then.
"He could get quite ill. This certainly won't be a pleasant experience for anyone, but it's our onl...",butting in Ever get caught in the rain without an umbrella? That's all we're talking about here. Sign the form.
"Why did you get so drunk at five in the afternoon, alone?","I need a reason? Looks to his right and Wilson is sitting next to him. God, I hate beer brand beer."
"I'm doing blood tests to be sure, but the sooner we get him on...",I'm not talking about the infection. I'm talking about you letting Tonya Harding administer the treatment.
Depleted uranium doesn't just cause cells to mutate it can cause cell death as well.,Not spinal cord cells. At least not until the dose is high enough to kill all his other cells first.
Great. I love euphemisms. By euphemism I mean when you say something and it means something else. He closes the file and drops it on the table before following Cuddy to his office. Begin eliminating. Search the home.,"The, uh!"
Patient. Abdominal pain.,"Yeah, he's right. Let's get this wrapped up before 6. Taub turns back into a faithful pumpkin at midnight."
Don't be condescending. You haven't checked in on him once.,"Blood pressure's 110/70, the shunt is patent well placed in the right lateral ventricle, the EKG shows a normal QRS with deep wave inversions throughout both limb and pericardial leads."
"Well, there has to be another way. Please. I'm speaking for my wife, the wife I lived with for four years who isn't here and can't defend herself. House turns and stares at a monitor. Dr. House, are you listening?","Well, you can stop arguing, cause it doesn't matter anymore. Look at the variability in the heart rate. The S.E. has spread into the brain stem."
Looking for a tie. What's the big deal?,"Obviously, he wants you out of the closet for some reason."
"Oh that. I'm sorry, that's my body powder. It's the only thing I've found that works in the Sahara. I, I'm kind of used to it, I don't Even notice it.",Who thinks it smells like an elephant dung smoothie?
I was mistaken. He starts to leave.,Drug gonna cure her?
Thailand was wonderful. Thanks for asking.,Of course. Yes. It has to be multifocal.
"So the main mass is somewhere else, throws up a clot, blocks an artery in his heart, causes the arrest. House watches as 13's hand starts shaking as she tries to put the lid on a pen.",Good. Go find out where he's hiding his cancer.
thinks His idea is better. Pour away.,I lost my mojo.
"sitting down across from House Sorry. I completely forgot. My wife just started a ceramics class Tuesdays at 800. It's a half-hour drive from here. She won't be back till 1030. He looks up at House, who doesn't beliEve him She's taking it with her girlfriend Marly. She hopes to make a tea service. You want to call her?",No need. I already texted her. And here she is now.
But we're not here to talk about him.,Absolutely not.
"Cuddy's right. Maybe, just maybe, if I don't play along, you'll realize you can't solve a deeper pRoblem with a surface solution.",Would've been more profound if you hadn't said anything.
He puts down two cups that are labeled Mommy and Daddy??? What's this?,Parents coffee cups.
Why are you refusing to proceed with the test?,Because he doesn't want me to.
What's with the jacket?,"poses It keeps me warm, and cool. How does it know?"
Hey! Stop that Jew!,Chase hates working on Shabbos. Gonna make this easier for him. Stand her up.
Region was endemic with dengue fEver. Good.,Yeah.
"Lungs are stiff, could be ARDS.",You fluid-overloaded him. Anyone's lungs would leak after that surgery. Good-bye.
Central serous retinopathy. She gets up and closes House's laptop. It's linked to type A personalities.,Funduscopic exam was normal.
"I can outrun you. House stops and turns toward Chase. Sorry about the nose. And the eye. And the, uh... eyebrow.",Guess I deserved it.
Okay! He heads for his office.,Okay as in passive-aggressive rEverse psychology? Or as in depressed resignation
Are you serious?,The Man knows prisons.
Hallucinations could be caused by!,Whoa. Wait for it! Pause and go.
Uh... gosh. Uh... there's so Many things.,Ah... is Dr. Taub available? Because he was very highly recommended....
Who am I looking at? My husband.,Who is suffering abdominal pain and fainting spells.
Didn't you just say it's not?,Not all heart damage has to be structural. Drugs could have caused intermittent tachycardia. He gets up
"Doctor House, We had to sedate her. What do you think?",You gave sedatives to a Patient who's already sleeping 18 hours a day?
You want us to take her there?,No. I'll take her.
That's why I gotta go. Don't need someone to tell you what you're already thinking.,"Funny, I was gonna say that."
"Maybe she ignored it, figured she had a cold.","We rejected Lyme Disease because the couple would have noticed a rash, but a wet hacking cough is just going to slip right by?"
You're saying he didn't do drugs?,Not when he played this. Something was screwing with his personality.
I'm not having an affair.,I didn't say you were. Not in this conversation. Wilson looks fed up and walks away I'm talking about a Patient!
Ezra Powell passed away last night. I'm sure you already knew about that.,Shakes his head a little. No. I just got in.
How did you get in here?,"to Cuddy Well, I guess you have your answer."
Truly a mystery. Why would anyone do something just to aggravate people?,"Why would _you_ have a blank liability release form, plus your checkbook, on top of your desk?"
"This one is a young boy. His parents are desperate. Just get together with your team, spend a few extra hours","Well, I guess we could amputate his left leg. That's where we found most of it. Maybe we could just remove his affected eye completely."
"Worse than before, he's on a ventilator.","Question is, why? It's not his brain, it's not a toxin. Our friend Babe helped with that one. So what else?"
He actually said he was a drug dealer?,Not out loud.
Even I don't like you. He walks off.,"calling after him You know, words can hurt!"
It's a month supply. The amount you're taking has nothing to do with physical pain.,"Okay. So maybe I am trying to numb myself a little, because I'm trying to change, trying to stop being self-destructive."
"Biopsy rEvealed, white blood cell inflitrates.","Infection was right, after all."
"Depends on you. Process is pretty basic. If you follow the schedule, agree to take meds, participate in group and individual therapy, we can work on goals",I set a goal.
Gamma survey rEvealed no tumors.,So it's not bone cancer. Where's Chase?
voice over House. House. I know you're not asleep.,without opening his eyes That insight would be a lot more impressive if you weren't just a product of my exhausted brain.
"It lasted six months. Thyroid cancer metastasized to his brain. There was nothing they could do. I was 21, and! I watched my husband die.",I'm sorry...
That it's over.,Why?
Our friendship is an ethical responsibility. House's beeper beeps. What is it?,My Patient's getting a heart.
"arguing PBG tests are only conclusive if done during an attack, which you would know if you were a real doctor.",That is just great.
I guess we could wait till we figure out what's wrong with Frank.,"On the other hand, Gilbert Gottfried makes me laugh. And how Many colors are there really? Once you got red, blue, and green"
Patient tested positive for herpetic encephalitis.,So what's that tell us?
"holding a large plastic bag full of the tickets which Foreman gave House Are these yours? The plumber retriEved them from the hospital outflow pipe. They caused a sewage backup that ruined the MRI, and they have your name on them.",Gregory Danger House. It's! a very common name.
We could ask to look through her office and we could do an MRI first.,Sure. Go ahead.
I think you mean Barney Fife.,So Many great idiot icons to choose from.
I-I know what it means.,"Uh, you were asking me if there were any nuts in the hors d'oeuvres."
We'll check the lymphatic system in the chest.,You got that from trash cans in the alley?
Is your leg worse?,No. My Parking spot is. Blood is only made inside the circulatory system. Which means when you find outside!
"Come on, people. Uh, vasculitis?",Wouldn't likely hit both lungs.
"I meant, he's clotting right now and he's in hypertensive crisis. Maybe the two are related. What if he was hypertensive the other two times that he clotted?",Hypertensive crisis can activate clotting factors. Even someone low on von Willenbrand's could theoretically clot.
How did you find that without a stethoscope? I didn't Even know you could do this!,Start the blood thinners.
Feel free to tip your other server.,Cystoscopy was clean. Cytopathology was normal.
"Heard enough. Just nEver could figure out the breathe air part. Next year, stick to whiskey. Or at least stay away from week-old green beers. A lot less likely to contain tartrazine-laced green food dyes for which you apparently have an intolerance. Once you break the seal, it'll be out of your system in 48 hours.","What are my choices here? If I tell you I'm fine, you won't beliEve me."
"acquiring the pic What about a congenital heart defect? He has a midline anomaly on his head, makes sense he'd have a midline anomaly in his heart too.",That sixteen years of testing didn't show?
What are you talking about?,It's all there.
Hannah and I have the same blood type. Couldn't I be the donor?,It is medically possible for us to take a part of your---
"Hey, how bout the pills?",Looks like you guys are good to go drug-free for a while.
Did she take the pill? Yes.,It's pRobably an allergic reaction.
You saw the bus driver exhibiting the initial stages of a seizure and didn't bother telling him to pull over?,Hey! House walks over to one of the crash victims being wheeled out in a wheelchair by a nurse. Nobody leaves here until I say they can be discharged.
It was in the range but blurry. The fetus was moving all over the place.,So we need another scan.
You are so full of love! or something. gestures for House to pay up When you care about someone,interrupts You lie to them! You pretend that their constant ponderous musing are interesting. You tell them they're not losing their boyish good looks or becoming worn out.
"giggling I said, you're making that up. And you said, your class schedule is overloaded, but none of your classes are before 1100, and no one takes Professor Lamb's course unless they have something to prove.",Because Professor Siegal covered the same ground and was the easier grader.
"entering her office I didn't ask what you were talking about, because I don't care.",catParkng the door with his cane and following her into the office I was with your boytoy on a stakeout last night.
"You're not buying that argument, are you? No.","In which case, I'm back to my original position - don't need you."
to House I found her in the clinic giving herself IV fluids.,At least you could've let her finish. She looks terrible.
"For like 10 seconds. Maximum, one minute. We also checked the ocular pressure. It's normal.",begins loudly crushing the vicodin folded inside of the napkin with the back handle of his cane And she doesn't know she sleeps.
"Greg, there's a process.","Yes, a process. Wouldn't want to disrupt the process with results."
I guess that depends. Still brushing House's hand against her cheek. What are you going to do with that?,House looks his hand which has a red ribbon in it. I have to tie this around you. Ties it around her leg.
"understanding, sighing in exasperation It was a scam?",Enough foreplay. You gonna kiss me or not?
It means the Patient's life is almost over. You can call it what you want.,"We're done, people! Come on! I need an idea and I don't care who they come from."
Suddenly you're shy? moves to Almore's side You pooped your pants in front of me. beat It's one of the nasty side effects of dying.,taking a deep breath Okay. Here's what happened. Your oxygen-deprived brain was shutting down. A flood of endorphins and serotonin was released. That's what gave you the visions.
"approaParkng the bench Sorry to interrupt your meeting, Mannix. Here's the result from the lung biopsy.",Why not men?
shakes her head You wouldn't keep calling her Oma. angry Something would have to change.,You don't know me.
What the hell are you doing?,Pull the trigger.
smiling You could have just said no.,I'll remember that for my next huMan contact.
"Doctor House, If it'd happened at home, she would have died. That ER doc, he was gonna send her home. What do you think?","It turns out your best judgment is not good enough. Here's an idea next time, use mine."
Very interesting practice you must've run. No need for tests. House taps on the door and the guard opens it. No need for proof. Where are you going?,leaving To the proof store.
She thinks I was hiding her from you.,You were.
Smiles. Neither am I.,"Shrugs. Neither am I, but that's because I don't care."
"We still have a Patient. Actually, two. One worsening, one who should be worsening.",You can't be in denial about Kutner and the husband.
"The blood work showed no signs of inflammation, and no one can figure out what's actually the cause of--",Huh.
Whose idea was that?,"Mine. But I let her think it's hers. That's the fun of a relationship. You get the sex, the dinners! video game partnership. I also get a full-night's sleep."
"Yeah, no, it's not like it's serious. I-I checked online, and it's! asthma or something.",Or something is the number one killer of teens with no medical degree. When was the last time he took you to see a doctor?
"Raising a Parkld on her own is scary. She's just doing what you do, what Everyone does trying to avoid pain.",Religion is not the opiate of the masses. Religion is the placebo of the masses. If you're saying she's not a hypocrite
"Dr. Mandingo, you're needed at the plantation House.","Well, don't Everybody talk at once. He pops a couple of Vicodin."
"Stop, this isn't working.",His heart rate barely got above 90.
I thought we were diagnosing.,YOU were diagnosing.
turning the pad around Starburst.,"Now, unless you think we pre-arranged that, just in case we were Ever held hostage by a guy who needs a CT, we're not lying."
"Pinches the bridge of his nose. If you want her back, either tell her, or, better yet, shut up, and cry yourself to sleep like Everybody else.",Picks up the phone.
Patients lie. But usually only one lie at a time how much does she weigh?,"Poundage, ladies, and by the by, what color is her nose?"
Cancer? The Senator's got AIDS.,Cancer sounds better on a press release. I need you guys to rush the ELisatest for HIV. He starts to walk into his office.
"Actually, I nEver did drugs. Leaves","to Cameron Better go with him, in case he gets high. to Chase How much atropine is the kid getting?"
"Are you blaming me? This is all because you're so arrogant, you goaded her into firing you!","Actually, my mistakes started a little after that, when I agreed to your brilliant scheme to keep me on the case after she'd fired me off it."
"He doesn't think it's syphilis, but he's going to go run those tests anyway.",Because he doesn't know. That's why we do tests.
Forget it. We can't give a liver to a Woman this sick.,Do you listen to what you're saying?
You're referring to the blood-brain barrier.,What else? Biopsy the barrier.
You want to give one Patient a hundred milligrams? That'll jump-start a car.,Perfect. The Patient's in a 69 Ford Coma.
"Well, you're gonna need me to!",hefting notes Got your case notes!
Is it contagious?,Only for the next 24 hours as long as you take the antibiotics.
Time it took you to go from hard-ass to huMan being.,You really wanna leave?
You Taddy? What?,Love the name. If I Ever have a dog... take off his pants.
"Got it, we're all idiots, what's your theory?",Give me your keys.
"Doctor House, Help! Somebody help us! House opens Augustine's shirt and listens to her heartbeat. What do you think?","Somebody get in here! A tech comes in. Call a code and charge up a defibrillator. She's got no pulse. The tech runs out, House starts chest compressions."
What about the way he's holding that stethoscope? His thumb and forefinger are meeting at an odd angle.,Could be demylenation from toxic exposure.
"Wow, that is amazing. You hung out in the OB/GYN lounge and heard about two sick babies. It's eerie. goes to touch something, I'm presuming a baby",Don't touch that.
"You're gonna be okay, House.",Good to know.
So then what was it caused by?,"I have no idea, but you'll be happy to hear it can't be cured by diet or exercise."
I know you chose well for me. I've been blessed.,Cross-species mating. I feel like Darwin in the Galapagos.
"The brain, except the CT was clean.","Check the brain's trash, see what it's hiding."
And I'm running low on tomato sauce. Dr. House!,I sent you home.
He would have had symptoms way before the Renaissance Festival.,"Which is true of anything that would compromise his immune system, which means it has to be some other environmental toxin."
And whispering. He's sleeping.,Yeah. Killer needs his rest. Otherwise he's grumpy all day. House bangs on Jack's bed with his cane. Hey! Wake up! Watch me save a life!
If your Patient's got a blood pRoblem then blood thinners aren't exactly--,It's for Stacy's rat death by anti-coagulation. He reaches for a bottle.
You can't honestly think I would help you with this.,"Not help me, help Cuddy, remember? If you don't get it, I'll be forced to use more nefarious methods."
"We drove for about ten minutes before we got caught, and that was it. When our mom came down to the station, she didn't say a word the whole ride home. She came up to the driveway, turned off the car. We're sitting in there in silence. Then without turning around, she said, I'll pray for you. And she got out of the car.",listening intently Wow. You got off easy.
Cancer. A corticotropin-producing carcinoid tumor of the intestine. But your pillcam didn't find anything.,Means it must be somewhere the pillcam couldn't go.
I'm sorry. The clinic is facing reduced funding from the state. Nurse Jeffrey is filing his 12th H.R. complaint. Richardson is threatening to quit because he's basically been a prisoner at the hospital for almost a week.,Richardson?
I take it you know?,Get the team. This is going to be fun. House walks off.
"Thank you, doctor, you've been wonderful.","As have you, Diana. Be well."
I'm not gloating.,Then what's that smirk?
"But... I risk my life to see you. I look you up, you fix people. When Everyone else gives up, you don't and now you insult me? Ignore my wife?",takes a vicodin Helps my process.
What's wrong with you?,Everyone knows what's wrong with me. What's wrong with him is much more interesting.
Can't be pretty much sure. Means you're not sure.,"Oh, aren't you clEver?"
"Yes, it did. They tested her Every year. With a CT scan.","Which misses all the tiny, little tumors that a PET scan doesn't."
"sighs Ah, what a shame.",They'll get over it.
-- it's a dangerous game.,Only if we're watParkng in the bathtub.
Seriously? No.,Not convinced. Yes you did.
"feigning pleasant surprise Oh, my God! What are you guys doing here?",I had a sudden yen for Fusion.
"Sure, if you call a micro-abscess in his brain clean.",What you don't trust me?
It was just some sort of virus? What's that?,Urine.
takes a seat You called New York Mercy to have Foreman's job interview killed.,"to Nurse Unger When I said, You girls can gossip later, I was throwing you out, but in a polite way."
re the hospital Looks a lot better on 24'.,to Smith I take that back.
His people are sheep-herders and Amber's are... cattlemen?,He's combined two of his worst qualities - his love for me and his love for need.
Could be post concussion syndrome.,Not without a pre-concussion. Pick a number.
"For the past three hours, I've been on the phone with the CDC while you are wai","Yeah, how's that going, by the way?"
You actually want me to talk to the Patient? Get a history?,We need to know if there's some genetic or environmental causes triggering an inflammatory response.
I doubled her up.,"hurting bad Okay, the infection's morphed. It's moved into her muscle sheath."
The Patient asked me what I thought.,"I pay you to think inside this room. Outside this room, I pay you to parrot."
Want me to come?,If I get in trouble? I'm delivering a hair brush.
I did it. And I didn't have to lie.,And you feel good about that?
Foreman. It's legal.,He's out of his mind! Yesterday he was giggling about a hole in a guy's head.
Where are you going?,To tell him he may have a massive brain tumor.
"This is where we have them all. Maybe, to be safe, we get rid of these toys.","No, no, no, don't do that. I'll tell you if anything's toxic. For now, you should minimize your exposure."
Is that the reason we're out here?,"Know why I come here? I sit, I watch, I imagine."
Unaccept it. Why?,Because Yule is boring. He's pedantic and preachy. Because he's short. Because I want you to come back.
"That means she only had one or two drinks, tops.",And there's no sign of trauma.
"My point was that arousal is a function of the parasympathetic nervous system. If that's where the pRoblem is, the pain could be triggered by crying, which seems","PNS also controls digestion, which she's been doing without screaming her head off since she's been here."
Cuddy feels guilty about not diagnosing psittacosis.,Think so?
What did you tell her?,I told her she's better off without me.
"No, we're not.","Okay, no, we're not. He pockets the pen. See? Everything's under control. He smiles."
But Cuddy stood up for you.,To a point.
"No, because the MRI showed","Well, let's do an MRI of our own. Chase and Cameron get up."
I got your consent.,Her bra hook.
to the fellows Who the hell did I leave in charge? Foreman.,"There was a reason for that. Next time, listen to him."
You going to tell me what's wrong with me or not?,Connects the IV up. Magic is cool. Actual magic is oxymoronic. Might not Even be oxy.
We didn't find any poisons.,"Well, you obviously found something."
The date rape drug. He leaves.,It's positive.
I always think your name is Dick. Realizes. House?!,Here.
"FEverish, itchy? No.",What is she doing here anyway? It's the middle of the morning. Shouldn't she be in school?
Thanks. I'm not beating myself up enough already over this. Entering the left common carotid.,watParkng the monitor You broke the rules. Girlfriend went blind. You gotta be ready for losing to be one of the possibilities. You're at the carotid bifurcation.
"Maybe it's not hypochondria. She said she gets a lot of rashes. Add the fEver sounds like autoimmune, S.L.E.","Congratulations, you can think exactly like a semi-competent internist. KaufMan's starting her on prednisone. But the heart pRoblems were first."
"Can you handle that, please? I need a minute.","Well, make it quick. We're doin Memphis."
"You are a doctor do what doctors do. Pick up the phone, dial 911 and a cop on the other end does what cops do and finds the missing person! House raises eyebrows, Foreman takes off coat I assume the rest of you have doctor things to do looks at House I know you do.","Do you Even know what that is, or are you just guessing Everything that starts with C'?"
Stay there. I'm comin'.,"No! you don't have to do that. Although, if you did come, maybe you could swing by the Hunan Palace and get some lo mein and a Szechuan beef."
Before or after we tell him to eat a banana and discharge him with a psych referral?,I say before.
You lower her hours?,You don't Even know her.
He just wants to die with a little dignity.,There's no such thing.
Cuddy wasn't supposed to find out.,No kidding! Get me cable. How tough can that be? Cost a Woman her job. There's only one thing you can say to keep me from firing you.
And blow out your heart. How Many did you take?,Just now? Or including the ones I took on the ride over?
not a shrink. Ugh!,Ah! Ugh! Ugh!
My grandma has lupus.,"writing Okay, autoimmune. I'll run a lupus panel. Infection fits best. Complete history would be helpful. Which leads to the worst part of the job."
So huManity is apathetic and self-serving?,Yeah.
"CT ruled out subdural hematoma, stroke, or subarachnoid hemorrhage. Guillain-Barr fits.","Makes some weird arm movements, Everyone looks at him. I'm just trying to figure out what Guillain-Barr looks like."
But do you want to spend time with her?,"Honestly! before this, I'd have said no. But! yeah. How are we Ever gonna be a couple if you keep hiding her from me?"
It's pRobably her moral revulsion at Housewarming gifts.,Or maybe she didn't want to accept a gift for something she wasn't gonna do.
"Why wait to treat the Hep-C? If I'm right, Joey gets better that much faster.","Right. Then he gets to testify, and you get a gold star from Cuddy."
"humoring him To morality, not science!",But the book is inconsistent with science. You know how Many epileptics were tortured because they were possessed? How Many teenage witches were stoned to death cause they took mushrooms?
Obviously not. What happened?,"He searched my House, found a butt load of pills. Wilson sighs. A guy's gotta be prepared for a rainy day."
I'm tired a lot.,Any other reason you think you may have Chronic Fatigue Syndrome?
Surprised Is this.... an apology?,"Part of the program, if you don't like it I can stop."
Or photocopies you're still yelling.,I'm ANGRY! You're risking a Patient's life.
That's my firm's motto. What is a cryostat?,No idea. WhoEver fixed ours is about to get stiffed. He balls up one of the sheets of paper and tosses it in the trash can. Two points.
"Eh, eh, eh, eh. Sit! They do. See, the two of you are friends. Look how you both",Think you're an idiot. We both also eat with forks. That doesn't really prove
House! It's one Evening. I'd like you to be there.,"Religious hokum, get sponge bath. Can I get back to you?"
Reason is defined by slavishly deferring to you.,Their doctor.
Cutting weight for wrestling could have led to rhabdomyolysis.,He just went up a weight class three months ago.
Dumb question. The brain's too fried during a seizure to form memories.,"Dumb answer. I wasn't asking you, I was asking me. Because you've already proven that you're not here."
I think that's the sEventh.,"Nope, sEventh is"
The saliva glands in the tongue are connected to the lymphatic system in the lungs. It's the next lymphatic system over.,Yeah. Go get lung lymph. The team leaves.
"I don't think so, no. Barraco azul!",I'm gonna need your boyfriend to collect samples of plants in and around your House. Toxins are the most!
Most CIPA complications are infection and she's got a fEver. LP? Urine?,Clean. Normal. Same with the white blood cell count.
We'll get her into therapy.,"Nods. Might want to try some meds, too. Starts to leave."
Celiac Patients are susceptible to cancer of the stomach lining. She has MALT lymphoma.,"Well, she's your Patient now. he looks back at the sheet Wilson gave him with the results of Cuddy's PCR test And it wasn't a date."
I remember the Honeymoon was in Paris. I remember because we didn't leave the room for two weeks. You want the details on that?,A little defensive.
The guy who shot him. Reliable witness.,"His name's Baby Shoes, how bad can he be?"
"Well, that's lavender.",Try rose hips. He puts it back
It's basic statistics some of them have to be whiny little fraidy cats. You're unbelievable.,If there's not one yellow-belly in the group then being brave doesn't have any meaning.
Not the anemia.,So she doesn't eat a lot of meat.
smilingly holds up a file of rsums So hire a team.,What for? I don't have a case.
The only time you're afraid is when you're happy. You just don't expect it to last.,Cause it doesn't.
My wife said he didn't.,"Then I'm guessing he washed them last night, without you knowing."
Do you think he's the only guy in New Jersey with an unsolved illness and a pistol? I'm not playing this game.,Seriously? You're walking out?
I'm keeping her out for a few days. There's been a little outbreak,Parkcken pox.
I don't know.,Just tilt his head back.
challengingly Why are you late?,To see who'd put up with it.
You ordered extra pancakes?? How much did they cost? They dive for the menu. Where,points to the paper 55 cents. And there were two.
You wanna get to your point?,"She's had enough. She's gonna leave. Or maybe she's jut not putting out. WhatEver. You gotta make it right, right away. You gotta compromise that precious flower principle."
You a fan of symmetry? Sure.,"Weird. Cause your eyes are lopsided. And by eyes, I mean breasts. ARDS And Crush Syndrome, both reactions to sEvere trauma. Why can't she have both?"
You want me to tell you in front of him?,It would be rude to ask him to leave now.
"House, you're losing it.",I've lost it. He starts to move his hand toward the Robot controls Chase grabs it. Why did you stop me?
"If she knew, there's no way she'd go through with this.","And if you didn't have a pathological need to create a close personal relationship with Every dying person you meet, we would be blissfully ignorant of any ethical dilemmas and"
She's been with two people other than Tom in the last six months. Neither of them have been outside the tri-state area.,So we're back to the husband.
Your plan isn't gonna work.,Of course it is.
"If we add clotting disorder to the symptoms, it's gotta be a toxin.",This guy's the only one with symptoms. It's either gotta be his cell or his work station.
Did you just forget what year it is?,No.
It's different. Yeah.,Reading a book entitled LESBIAN PRISON STORIES.
"The deodorant has a high proportion of propylene glycol. Same stuff made a kid in Singapore dEvelop a heart condition and, get this, seizures. Our Patient may nEver have needed split-brain surgery.",I'm sure he will half-appreciate the irony. Take this Man to radiology. Pancreatic scan. And stay with him. He gets on the elevator.
"You better have the bird, the surgical team's in place.",I screwed up.
You're not scheduled for clinic duty now.,I had some free time. I owed four hours.
"Dr. House, if you subvert or mislead this committee, you will be subject to disciplinary action. pause","Dr. Cuddy, do you have any reason to think that I would lie?"
No arrhythmia. So Ritalin isn't the big pRoblem. Something else is going on.,Fine. Let's play doctors.
Then pull the plug.,What if I can fix it? Maybe I just don't know it yet.
"No, no, no. I don't want I don't want you to",Listen. There are two things I do well. Bachelor parties rank! towards the top.
DIC wouldn't cause a fEver this high.,See my lapdog agrees with me. How high?
"I'm not going to get this job, am I?",It's a done deal. I knew it the moment I saw you. Interview's just a formality.
"So, now we're going to operate on the guy?",Unless you've invented a new way of doing an open lung biopsy.
She didn't keep it. She nEver kept another appointment with a shrink he made after that.,"Carne is not a shrink. I looked him up, he's an ophthalmologist. Now why would she want her eyes checked?"
Ah. I'll let you drive.,Not worth listening to you whine about your feelings and fears for three days.
What happened to your face?,Wilson annexed the Sudetenland.
"She's not wearing any underwear - Big deal. When she stops wearing clothes, then we can drop the medical stuff.",Let me see the MRI film.
So your solution is not to give a damn about any of them? How do you do that? How do you take that theory,"Whoa, whoa, whoa! Hey! Whoa!"
In Iceland the age of consent is 14.,I'm surprised that tourism isn't a bigger industry up there.
Should we switch brands?,Or stop feeding them altogether.
